,Tweet Id,Datetime,Username,Tweet Content,User Location,User Verified,Retweet Count,Reply Count,Like Count
21,1.37E+18,2021-02-27 10:57:40+00:00,DipankarfrIndia,"Budget provided clear roadmap to expand private sector participation: PM Narendra Modi 
https://t.co/hdJQ47Ibve

via NaMo App https://t.co/uvwwKLmrfA",India,FALSE,0,0,0
22,1.37E+18,2021-02-27 10:57:01+00:00,DipankarfrIndia,"GDP in positive trajectory a promising sign, says India Inc
https://t.co/kNWs8dncv1

via NaMo App https://t.co/iIP3YYHtGy",India,FALSE,0,0,0
23,1.37E+18,2021-02-27 10:00:30+00:00,karthikpgsbabu,@nsitharaman @ianuragthakur @Anurag_Office Reallocate and Increase the Union Budget Spend fo... https://t.co/hO1eQniTTt via @ChangeOrg_India,"Chennai,India Adyar ",FALSE,0,0,0
24,1.37E+18,2021-02-27 09:22:13+00:00,6e_SG_G8_UK_AI,"@abraham_chacko @atamnirbharr @SurrbhiM GDP is under control - not into linear arbitration as it was earlier.
If you see how markets are performing and the IMFs report, u will see drastic changes compared to last year and 20-21
Covid happened we still in recovering process.
It takes a lot for a BACKLOG country to regis",India,FALSE,0,2,0
25,1.37E+18,2021-02-27 09:20:38+00:00,ajassimanwar,"@AimenDean Supporting and Protecting the land of Tawheed is striving(jihad) in the way of Allah, even if it means a single tweet in its defense.","Riyadh, KSA",FALSE,1,1,0
26,1.37E+18,2021-02-27 09:19:38+00:00,VenkatSangaredd,"GDP Means Gas, Diesel &amp; Petrol 
Recieved via Whatsapp.","Hyderabad, India",FALSE,0,0,0
27,1.37E+18,2021-02-27 09:16:33+00:00,Jagadesh1956,"@Winston63103946 @drsudhirn @KundaapraDist Lol. Visit commerce ministry website  n compare our state GDP/GNP n GST collection n compare with not only Assam entire north east include ur friendly state Bengal also. I know u r roadside illitrate,Don""t know how to calculate that one, Take help of ur Chinese friends.",,FALSE,0,0,0
28,1.37E+18,2021-02-27 08:27:37+00:00,prashantdhumal,"▪️Farmers Protests
▪️GDP ⬇️
▪️Unemployment
▪️Fuel Price
▪️Job Losses
▪️Food inflation
▪️Chinese Aggression
▪️Crime Against Women
▪️Corruption

#BJPseSabPareshan 
@INCMumbai @INCMaharashtra @INCIndia","Mumbai, India",FALSE,2,0,4
29,1.37E+18,2021-02-27 08:26:31+00:00,kapsshimla,"What is the debt to GDP ratio now. Has it crossed 100 per cent.
Dollar chapi chalo. USD index keeps falling. https://t.co/HOuiQ44oMq","Gurgaon, India",FALSE,0,1,1
30,1.37E+18,2021-02-27 08:22:43+00:00,skoponomics,Mentioned below are two widely known methods for calculating GDP including the MSMES &amp; Informal Sector of India.Can FM tell us now what is the GDP forecast for next quarter of 21?@nsitharaman @nitin_gadkari @PiyushGoyal @AmitShah @JPNadda @Swamy39 @narendramodi https://t.co/b3dajCciEF, Noida ,FALSE,0,0,0
31,1.37E+18,2021-02-27 08:04:56+00:00,mazherr,"@tweetsofkhare @SatyamKailash @Manva_tweets @boxervijender @RahulGandhi 97% of Electoral Bonds to one party 
Haan bhout budget hain","mumbai, india",FALSE,0,0,0
32,1.37E+18,2021-02-27 07:57:21+00:00,SanyogeetaSinha,"Government has no business to be in business:PM
Exactly, disinvestment is the new mantra for the development.
#Namo_Namo 🙏🇮🇳🇮🇳🇮🇳",,FALSE,7,3,44
33,1.37E+18,2021-02-27 07:05:04+00:00,propertiesindia,"Affordable budget Villas #ForSale in #Palakkad #3Bedroom #IndependentHouse #Kallekkad #Residential #Property
https://t.co/gONWHzjHSX",India,FALSE,0,0,0
34,1.37E+18,2021-02-27 06:51:06+00:00,MdAslamParvez12,"@rkmarar9 Exactly. Decreased interest rate and increased inflation is shrinking the value of the money saved in banks by common man, leave alone various charges introduced from time to time to rob more in order to compensate the write off for the rich.",,FALSE,2,0,2
35,1.37E+18,2021-02-27 06:34:55+00:00,pradeeeppoonia,"Increasing petrol price means inflation.
Increasing food prices means starvation.

#1मार्च_से_दूध_100_लीटर 
#मजदूर_किसान_एकता_दिवस https://t.co/j4DBbEoOMV","Bhadra, India",FALSE,4,0,1
36,1.37E+18,2021-02-27 06:09:14+00:00,kishorrrkumarrr,50Cr Budget tho movie ante 🙏🏻🙏🏻 https://t.co/k4WgD0kfiE,India,FALSE,0,0,0
37,1.37E+18,2021-02-27 06:04:37+00:00,kwangggyou,"🔽 82,403

[GW25 - 63] Weird week with lots of pts coming from the bench. Took the gamble to bench both city defense which didn't exactly work out. At least Cancelo came in for the injured Grealish. #FPL #FPLCommunity https://t.co/Be5c1RNAC0",Singapore,FALSE,0,1,0
38,1.37E+18,2021-02-27 05:37:22+00:00,CA_SRK,"@nsitharaman
@narendramodi
GDP in positive trajectory a promising sign, says India Inc
https://t.co/tXsILXPqLi via NaMo App https://t.co/4v2ONPyTuH",New Delhi,FALSE,0,0,0
39,1.37E+18,2021-02-27 05:35:44+00:00,IamCStar2,"GDP grew!!

G- Gas
D- Diesel
P- Petrol 

Modi-Master Of destroying ⚠️

#MyLeaderRahulGandhi
#_modi_job_do 
#_modi_rojgar_do 
@RoshanLalBittu @satyajeettambe @IYC @Neerajkundan @Buntyshelke_inc @INCIndia @srinivasiyc @ChetanGedamNSUI @nsui",,FALSE,0,0,2
40,1.37E+18,2021-02-27 05:34:50+00:00,rajeshmahapatra,"Look forward to hosting a power-packed panel on #Odisha Budget 2021-22 this evening, at 630.
If the topic is of interest to you join us via zoom
Meeting ID: 250 259 2254
Passcode: 122769
Or 
Watch it Live on https://t.co/HMKqASCBVR https://t.co/mkn9iEnYCF",New Delhi ~ Bhubaneswar,TRUE,1,1,2
41,1.37E+18,2021-02-27 05:20:08+00:00,advakash,"Budget provided clear roadmap to expand private sector participation: PM Narendra Modi 
https://t.co/oGVXwtyK2b

via NaMo App https://t.co/N9HRpSnD3P",khamgaon,TRUE,0,0,5
42,1.37E+18,2021-02-27 05:16:06+00:00,advakash,"GDP in positive trajectory a promising sign, says India Inc
https://t.co/4hCKQtvJQr

via NaMo App https://t.co/LQYsAEm6vD",khamgaon,TRUE,0,0,2
43,1.37E+18,2021-02-27 04:15:34+00:00,bannaavinash765,"@Jitumoni28 @himantabiswa @Pijush_hazarika @samirsinha69 @nhm_assam @PomiBaruah @mygovassam @diprassam @guwahatiplus @GuwahatiPol @drbgos @gpsinghassam @DGPAssamPolice Thanks
But I am coming from #TRAIN
On 6th of March
Flight is not in my budget..",,FALSE,0,1,0
44,1.37E+18,2021-02-27 03:56:21+00:00,karyaboii,Date within your budget and stay in your lane,"PG, MY 📍",FALSE,0,0,1
45,1.37E+18,2021-02-27 03:34:26+00:00,shantharam_t,"@MinisterKTR Respected Sir, Jyothi Nagar Elecy Engrs Clny/GHMC/CZ Zone.Parks Maint Bills/2019-'20 &amp; 2020-'21/₹1.46Lacs due/Elecy&amp;Park wchmn salary can not delyd. Hrt wing:No Budget.Issue represntd Commisnr &amp; ZC/CZ/ZC. Help us. Regards Secy RWA Jyothinagar. https://t.co/hUP0I4ZKQq",,FALSE,1,0,0
